Fuel _Type_Code,Station_Name,Street_Address,City,State,ZIP,Station_Phone,Access_Days_Time,Cards_Accepted,EV_Level1_EVSE_Num,EV_Level2_EVSE_Num,EV_DC_Fast_Count,Geocode_Status,Latitude,Longitude,EV_Connector_Types,Country,Facility_Type,E85_Other_Ethanol_Blends
ELEC,Hilton - Palm Springs,400 E Tahquitz Canyon Way,Palm Springs,CA,92262,760-320-6868,24 hours daily; pay lot; priority given to registered guests,,,2,,GPS,33.824004,-116.543589,J1772,US,HOTEL,
ELEC,Inland Empire Foods,5425 Wilson St,Riverside,CA,92509,951-682-8222,8am-4:30pm M-F,,,3,,GPS,34.0189,-117.38,J1772,US,OFFICE_BLDG,
ELEC,Sacramento International Airport - Daily A Lot,Lindbergh Dr,Sacramento,CA,95837,916-874-0670,24 hours daily; pay lot,,,4,,GPS,38.69005,-121.58889,J1772,US,AIRPORT,
ELEC,City of Santa Monica - Airport,3223 Donald Douglas Loop,Santa Monica,CA,90405,310-458-8516,24 hours daily,,,2,,GPS,34.017081,-118.44704,J1772,US,AIRPORT,
ELEC,City of Santa Monica - Pier,200 Santa Monica Pier,Santa Monica,CA,90405,310-458-8516,24 hours daily; pay lot,,,3,,200-9,34.010021,-118.49583,J1772,US,MUNI_GOV,
ELEC,Universal City Hilton,333 Universal Terrace Pkwy,Universal City,CA,91608,818-506-2500,24 hours daily; pay lot; see valet for access; Drivers must bring their own J1772 cordset for Level 1 charging,,1,,,200-8,34.138717,-118.35904,NEMA520,US,HOTEL,
ELEC,Office Max - Home Depot,7075 Firestone Blvd,Downey,CA,90241,562-806-6600,24 hours daily,,,4,,200-8,33.94756,-118.153806,J1772,US,SHOPPING_CENTER,
ELEC,Hyatt at Fisherman's Wharf,555 N Point St,San Francisco,CA,94133,415-563-1234,24 hours daily; pay lot; see valet for access,,,1,,GPS,37.80619,-122.4152,J1772,US,HOTEL,
ELEC,Arden Fair Mall,1689 Arden Way,Sacramento,CA,95815,916-920-1167,24 hours daily,,,4,,200-8,38.599693,-121.427045,J1772,US,SHOPPING_MALL,
E85,Conoco - Convenient Mart,701 Eastland Dr,Jefferson City,MO,65101,573-635-8834,"5:30am-12am M-F, 6am-11pm Sat-Sun",A Cash D M V Voyager Wright_Exp,,,,200-9,38.549973,-92.149117,,US,CONVENIENCE_STORE,"[""E20-E25"", ""E30-E35""]"
E85,Petro Serve USA - Farmers Union Oil Co,1120 E Divide Ave,Bismarck,ND,58501,701-223-1949,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,200-9,46.823993,-100.774849,,US,CONVENIENCE_STORE,"[""E30-E35""]"
E85,Bobby & Steve's Mobil,3701 Central Rd NE,Columbia Heights,MN,55421,763-788-1113,24 hours daily,A Cash D M V Voyager,,,,200-9,45.036651,-93.246789,,US,GAS_STATION,
E85,Holiday Stationstore #73,8401 Lyndale Ave S,Bloomington,MN,55420,952-881-6083,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,200-9,44.851239,-93.287848,,US,CONVENIENCE_STORE,
E85,Jerry's U-Save Conoco,211 Highway 9 S,Morris,MN,56267,320-589-4333,6am-10pm daily,A Cash D M V Voyager,,,,200-9,45.325268,-95.580093,,US,CONVENIENCE_STORE,
E85,Holiday Stationstore #259,202 101st Ave NW,Coon Rapids,MN,55448,763-785-9405,24 hours daily,A Cash D M V Voyager,,,,GPS,45.15281,-93.272259,,US,CONVENIENCE_STORE,
E85,Holiday Stationstore #292,420 66th Ave N,Brooklyn Center,MN,55430,763-566-4311,5am-11pm daily,A Cash CREDIT D Debit M V Voyager,,,,200-9,45.074958,-93.287884,,US,CONVENIENCE_STORE,
E85,Holiday Stationstore #4,1444 E Minnehaha,St. Paul,MN,55106,651-771-8157,6am-11pm daily,A Cash D M V Voyager,,,,200-9,44.962858,-93.03913,,US,CONVENIENCE_STORE,
E85,Holiday Stationstore #43,600 Snelling Ave N,St. Paul,MN,55104,651-644-3994,6am-11pm daily,A Cash D M V Voyager Wright_Exp,,,,200-9,44.95859,-93.166635,,US,CONVENIENCE_STORE,
E85,Holiday Stationstore #83,444 E 1st Ave,Shakopee,MN,55379,952-445-4450,24 hours daily,A Cash D M V Voyager,,,,200-9,44.798999,-93.521407,,US,CONVENIENCE_STORE,
E85,Holiday Stationstore #245,5401 W Old Shakopee Rd,Bloomington,MN,55437,952-881-1285,24 hours daily,A Cash D M V Voyager,,,,GPS,44.807343,-93.351905,,US,CONVENIENCE_STORE,
E85,Kwik Trip #662,3145 Dodd Rd,Eagan,MN,55121,651-405-8543,24 hours daily,A ANDROID_PAY APPLE_PAY Cash Checks Comdata CREDIT D EFS FleetOne FuelMan M TCH Tchek V Voyager Wright_Exp,,,,200-9,44.843646,-93.123553,,US,CONVENIENCE_STORE,"[""E15""]"
E85,Cenex - Belgrade Co-op,218 Wells St,Belgrade,MN,56312,320-254-8231,6am-11pm daily,A Cash D M V Voyager,,,,200-8,45.452715,-95.004701,,US,COOP,"[""E40-Plus""]"
E85,BP - Expressway,1002 S Kniss,Luverne,MN,56156,507-283-3942,"6am-12am M-F, 6am-2:30pm Sat-Sun",A Cash D M V Voyager Wright_Exp,,,,200-9,43.640938,-96.213763,,US,CONVENIENCE_STORE,
E85,Cenex - Central Counties Co-op,1025 E Frontage Rd,Litchfield,MN,55355,320-693-2821,"8am-5pm M-F, 8am-12pm Sat",A Cash D M V Voyager,,,,200-9,45.121591,-94.503642,,US,COOP,"[""E20-E25"", ""E30-E35"", ""E40-Plus""]"
E85,Cenex - Meadowland,130 State Highway 68 E,Wabasso,MN,56293,507-342-5145,7am-9pm daily,A Cash Checks D M V Voyager,,,,GPS,44.39915,-95.258619,,US,CONVENIENCE_STORE,"[""E20-E25"", ""E30-E35"", ""E40-Plus""]"
E85,Cenex - Freeborn County Co-op,302 E Clark St,Albert Lea,MN,56007,507-373-3991,24 hours daily,A Cash D M V Voyager,,,,200-9,43.649515,-93.365823,,US,COOP,"[""E15"", ""E20-E25"", ""E30-E35""]"
E85,Sinclair,295 S Broadway,Denver,CO,80209,303-765-5580,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,200-8,39.71153,-104.98792,,US,CONVENIENCE_STORE,
E85,Cenex - Farmers Co-op Oil Co,537 E Maple,Sacred Heart,MN,56285,320-765-2752,6am-9:30pm daily,Cash D M V Voyager,,,,200-9,44.787403,-95.341421,,US,COOP,"[""E20-E25"", ""E30-E35"", ""E40-Plus""]"
E85,Cenex - Olivia,1208 W Lincoln Ave,Olivia,MN,56277,320-523-1241,7am-10pm daily,Cash M V Voyager Wright_Exp,,,,200-9,44.776707,-94.994495,,US,CONVENIENCE_STORE,"[""E40-Plus""]"
E85,Cenex C-Store,1297 Granite St,Granite Falls,MN,56241,320-564-2525,5:30am-10pm daily,A Cash D M V Voyager,,,,200-9,44.806338,-95.54527,,US,CONVENIENCE_STORE,"[""E15"", ""E20-E25"", ""E30-E35"", ""E40-Plus""]"
E85,Cenex C-Store,330 County Rd 21 S,Glenwood,MN,56334,320-634-3826,6am-9pm daily,A Cash D M V Voyager Wright_Exp,,,,200-8,45.646833,-95.372122,,US,CONVENIENCE_STORE,"[""E15"", ""E20-E25"", ""E30-E35""]"
BD,Dr. Dan's Alternative Fuels Werks,912 NW 50th St,Seattle,WA,98107,206-783-5728,24 hours daily,A Cash Checks D M V,,,,200-9,47.66525,-122.369311,,US,CONVENIENCE_STORE,
E85,Fort Meade Auto Center,3240 Fort Meade Rd,Laurel,MD,20724,301-490-8800,24 hours daily,A Cash D FuelMan M V Voyager Wright_Exp,,,,200-9,39.091377,-76.774898,,US,CONVENIENCE_STORE,"[""E15""]"
ELEC,Palace Hotel,2 New Montgomery St,San Francisco,CA,94105,415-512-1111,24 hours daily,,,2,,GPS,37.78881,-122.401,J1772,US,HOTEL,
ELEC,Mark Hopkins InterContinental Hotel,999 California St,San Francisco,CA,94108,415-392-3434,24 hours daily; for guest use only; see valet for access,,,1,,200-8,37.791791,-122.411265,J1772,US,HOTEL,
ELEC,California State University - Northridge,18111 Nordhoff St,Northridge,CA,91330,818-677-1200,24 hours daily; parking permit required,,,2,,GPS,34.248959,-118.523887,J1772,US,COLLEGE_CAMPUS,
ELEC,California State University - Northridge,18111 Nordhoff St,Northridge,CA,91330,818-677-1200,24 hours daily; parking permit required,,,2,,GPS,34.241687,-118.528543,J1772,US,COLLEGE_CAMPUS,
ELEC,California State University - Northridge,18111 Nordhoff St,Northridge,CA,91330,818-677-1200,24 hours daily; parking permit required,,,4,,GPS,34.236853,-118.532588,J1772,US,COLLEGE_CAMPUS,
ELEC,Los Angeles Harbor Department Headquarters,425 S Palos Verdes St,San Pedro,CA,90731,310-732-7678,8am-5pm daily,,,4,,200-9,33.740758,-118.28192,J1772,US,PARKING_LOT,
ELEC,Getty Center,1200 Getty Center Dr,Los Angeles,CA,90049,310-440-7300,Garage business hours; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,,12,15,,200-9,34.077588,-118.474585,J1772 NEMA520,US,PARKING_GARAGE,
E85,AgPlus - Cenex,401 Country Club Dr,Marshall,MN,56258,507-532-3110,24 hours daily,A Cash CREDIT D Debit M V Voyager,,,,200-9,44.44248,-95.795705,,US,CONVENIENCE_STORE,
ELEC,LA County DPR Arboretum,301 N Baldwin Ave,Arcadia,CA,91007,833-479-7359,24 hours daily,Proprietor,,3,,GPS,34.145528,-118.050548,J1772,US,PARK,
ELEC,City of Glendora - City Hall,114 S Vista Bonita Ave,Glendora,CA,91741,626-914-8200,5am-2am daily,,,3,,GPS,34.13556,-117.864,J1772,US,MUNI_GOV,
ELEC,DoubleTree Hotel - Los Angeles - Westside,6161 Centinela Ave,Culver City,CA,90230,310-649-1776,24 hours daily; guest use only; see valet,,,2,,GPS,33.9826,-118.3966,J1772,US,HOTEL,
ELEC,Helms Bakery Building,8800 Venice Blvd,Los Angeles,CA,90034,310-204-1865,24 hours daily,,,6,,200-9,34.029971,-118.385231,J1772,US,PARKING_GARAGE,
ELEC,Westfield MainPlace Mall,2800 N Main St,Santa Ana,CA,92705,714-547-7800,Business hours,,,6,,GPS,33.777054,-117.870566,J1772,US,SHOPPING_MALL,
ELEC,California State University - Channel Islands,1 University Dr,Camarillo,CA,93012,805-437-8400,24 hours daily; parking pass required or day pass available for purchase,,,5,,GPS,34.16657602,-119.0458547,J1772,US,COLLEGE_CAMPUS,
ELEC,Brea Downtown Parking,101 S Brea Blvd,Brea,CA,92821,714-990-7650,Garage business hours; 4 hour parking limit,,,4,,200-8,33.919899,-117.898618,J1772,US,PARKING_GARAGE,
ELEC,Home Depot,2745 Teller Rd,Newbury Park,CA,91320,805-375-6680,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,,4,2,,GPS,34.192178,-118.934793,J1772 NEMA515,US,SHOPPING_CENTER,
ELEC,Lake Casitas Municipal Water District - Recreational Area,Casitas Pass Rd & Baldwin Rd,Oak View,CA,93022,805-649-2233,8am-5pm daily,,,1,,GPS,34.418322,-119.3368,J1772,US,PARK,
ELEC,San Dimas Park & Ride,205 S San Dimas Ave,San Dimas,CA,91773,909-394-6271,24 hours daily,,,2,,GPS,34.105275,-117.809208,J1772,US,PARKING_LOT,
ELEC,City of Pasadena - El Molino Lot,100 N El Molino Ave,Pasadena,CA,91101,626-744-7665,24 hours daily; pay lot,,,4,,GPS,34.147709,-118.136621,J1772,US,PARKING_LOT,
ELEC,Ventura County Government Center,800 S Victoria Ave,Ventura,CA,93009,,8am-5pm daily,,,3,,GPS,34.267352,-119.2124,J1772,US,MUNI_GOV,
ELEC,Ventura County Air Pollution Control District,669 County Square Dr,Ventura,CA,93003,805-645-1400,8am-5pm daily,,,3,,GPS,34.268756,-119.2154,J1772,US,MUNI_GOV,
ELEC,Pacific View Mall,3295 E Main St,Ventura,CA,93003,805-642-5530,24 hours daily,,,2,,GPS,34.268,-119.2492,J1772,US,SHOPPING_MALL,
ELEC,University of California - Davis Extension - Lot 80,1441 Research Park Dr,Davis,CA,95616,530-752-8277,24 hours daily; parking pass required; Drivers must bring their own J1772 cordset for Level 1 charging,,1,3,,GPS,38.539336,-121.732405,J1772 NEMA520,US,COLLEGE_CAMPUS,
E85,Walt's 66 Carwash,1200 S 1st St,Willmar,MN,56201,320-235-5740,6am-10pm daily,A Cash D M V Voyager,,,,200-9,45.11129,-95.043137,,US,CARWASH,
E85,Tobies Marathon,402 Fire Monument Rd,Hinckley,MN,55037,320-384-7968,24 hours daily,Cash CREDIT Debit M V Voyager,,,,200-9,46.010739,-92.930058,,US,CONVENIENCE_STORE,"[""E15""]"
E85,Country Corner - Cenex,922 US 75,Graceville,MN,56240,320-748-7187,5:30am-9pm daily,A Cash D M V Voyager,,,,GPS,45.571633,-96.431225,,US,CONVENIENCE_STORE,"[""E20-E25"", ""E30-E35"", ""E40-Plus""]"
E85,Holiday Stationstore #335,1301 Industrial Blvd NE,Minneapolis,MN,55413,612-331-2331,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,200-9,45.002254,-93.209326,,US,CONVENIENCE_STORE,
E85,Cenex - Farmers Co-op Oil Co,200 Minnesota 7 W,Clara City,MN,56222,320-847-2318,6am-9pm M-Sat,A Cash D M V Voyager,,,,GPS,44.948469,-95.372767,,US,COOP,"[""E20-E25"", ""E30-E35"", ""E40-Plus""]"
E85,Kwik Trip #1147,251 1st Ave S,Windom,MN,56101,507-831-7013,7am-9pm daily,A Cash D M V Voyager Wright_Exp,,,,GPS,43.85564785,-95.11466968,,US,CONVENIENCE_STORE,
E85,Acorn Petroleum,1041 N Colorado Ave,Brush,CO,80723,970-842-3122,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,200-8,40.26647,-103.62136,,US,CONVENIENCE_STORE,
BD,Pearson Fuels Depot,4067 El Cajon Blvd,San Diego,CA,92105,619-243-0456  888-998-2546,"6am-10pm M-F, 7am-10pm Sat-Sun",A Cash CFN D M V Voyager Wright_Exp,,,,200-9,32.754335,-117.107501,,US,CONVENIENCE_STORE,
E85,Pearson Fuels Depot,4067 El Cajon Blvd,San Diego,CA,92105,619-243-0456  888-998-2546,"6am-10pm M-F, 7am-10pm Sat-Sun",A Cash CFN D M V Voyager Wright_Exp,,,,200-9,32.754335,-117.107501,,US,CONVENIENCE_STORE,
E85,Glencoe Co-op Association,330 10th St E,Glencoe,MN,55336,320-864-5561,"8am-5pm M-F, 9am-12pm Sat",A Cash D M V Voyager Wright_Exp,,,,200-9,44.768858,-94.157543,,US,COOP,"[""E40-Plus""]"
BD,Shoco Oil,5135 E 74th Ave,Commerce City,CO,80022,303-289-1677,"6am-6pm M-F, 7am-12pm Sat",Cash M V,,,,200-9,39.832768,-104.927427,,US,STANDALONE_STATION,
E85,Holiday Stationstore #333,7287 161st St W,Lakeville,MN,55044,952-997-2266,24 hours daily,Cash M V,,,,GPS,44.71696604,-93.21326579,,US,CONVENIENCE_STORE,
E85,Corner Pantry,2369 Old Highway 14,Huron,SD,57350,605-352-3877,24 hours daily,A Cash Checks D M V Voyager Wright_Exp,,,,GPS,44.37030256,-98.25412687,,US,TRAVEL_CENTER,
E85,BP - Becker's,10 E Northbrook Dr,Dwight,IL,60420,815-584-2189,5:30am-10pm daily,A Cash D Debit M V Voyager Wright_Exp,,,,GPS,41.112992,-88.412481,,US,CONVENIENCE_STORE,
E85,Cenex - Freeborn County Co-op,105 Northstar Rd,Alden,MN,56009,507-874-3752,"4am-8pm M-F, 7am-8pm Sat-Sun",A Cash D M V Voyager Wright_Exp,,,,200-9,43.664862,-93.579499,,US,CONVENIENCE_STORE,"[""E15"", ""E20-E25""]"
E85,Cenex General Store,619 Front St,Barnesville,MN,56514,218-354-2139,5am-10pm daily,Cash D M V Voyager Wright_Exp,,,,200-9,46.659153,-96.420357,,US,CONVENIENCE_STORE,"[""E20-E25"", ""E30-E35""]"
E85,212 One-Stop - Cenex,101 E Highway 212,Danube,MN,56230,320-826-2660,"6:30am-10pm M-F, 7am-10pm Sat-Sun",A Cash D M V Voyager,,,,GPS,44.788644,-95.097083,,US,CONVENIENCE_STORE,"[""E15"", ""E20-E25"", ""E30-E35"", ""E40-Plus""]"
E85,Cenex - Farmers Co-op Oil Co,1400 E Bridge St,Redwood Falls,MN,56283,507-644-3383,6am-10pm daily,A Cash D M V Voyager Wright_Exp,,,,200-8,44.541392,-95.090323,,US,CONVENIENCE_STORE,"[""E15"", ""E20-E25"", ""E30-E35""]"
E85,Tri-County Co-op Oil,201 5th St S,Wheaton,MN,56296,320-563-8207,"7:30am-5:30pm M-F, 8am-12pm Sat",Cash M V Voyager Wright_Exp,,,,200-9,45.80284,-96.4903,,US,COOP,"[""E20-E25"", ""E30-E35"", ""E40-Plus""]"
E85,Season's Market - Holiday Stationstore #3535,757 Radio Dr,Woodbury,MN,55125,651-731-0527,"4:30am-12am M-Th, 4:30am-1am F-Sat",A Cash D M V Voyager,,,,200-9,44.93714,-92.932539,,US,CONVENIENCE_STORE,
ELEC,Fair Oaks - Orangevale - Community Library,11601 Fair Oaks Blvd,Fair Oaks,CA,95628,916-264-2700,24 hours daily,,,2,,GPS,38.66292,-121.2634,J1772,US,PARKING_LOT,
ELEC,Sutter Galleria Mall - University of California - Davis Extension,2901 K St,Sacramento,CA,95816,916-327-7072,24 hours daily; pay lot; visitor and student use only; Drivers must bring their own J1772 cordset for Level 1 charging,,1,2,,200-9,38.57277,-121.467902,J1772 NEMA520,US,COLLEGE_CAMPUS,
ELEC,North Highlands Library,4235 Antelope Rd,Antelope,CA,95843,916-264-2920,24 hours daily,,,1,,GPS,38.7042,-121.365,J1772,US,LIBRARY,
ELEC,University of California - Davis - Medical Center,4860 Y St,Sacramento,CA,95817,800-282-3284,24 hours daily,,,2,,GPS,38.552483,-121.4487,J1772,US,HOSPITAL,
ELEC,City of Sacramento - Belle Cooledge Library,5600 S Land Park Dr,Sacramento,CA,95822,916-264-2700,24 hours daily,,,2,,GPS,38.524403,-121.5112,J1772,US,LIBRARY,
ELEC,Mosquito Road Park and Ride,Mosquito Rd & Clay St,Placerville,CA,95667,530-642-5383,Lot business hours; overnight parking prohibited,,,2,,GPS,38.73323,-120.78962,J1772,US,MUNI_GOV,
ELEC,City of Vacaville - Cultural Center,1000 Ulatis Dr,Vacaville,CA,95687,707-449-5424,24 hours daily,,,1,,GPS,38.356027,-121.9628,J1772,US,MUNI_GOV,
ELEC,Stars Recreation Center,155 Browns Valley Pkwy,Vacaville,CA,95688,707-449-5424,24 hours daily,D,,4,,GPS,38.36557,-121.967,J1772,US,REC_SPORTS_FACILITY,
ELEC,City of Vacaville - Regional Transport Center,190 Hickory Ln,Vacaville,CA,95688,707-449-5424,24 hours daily,,,2,,GPS,38.35172,-121.987,J1772,US,TRAVEL_CENTER,
ELEC,Office of Housing & Redevelopment,40 Eldridge Ave,Vacaville,CA,95688,707-449-5424,24 hours daily,,,2,,200-9,38.356907,-122.001886,J1772,US,OFFICE_BLDG,
ELEC,KUIC Radio - Parking Lot,500 Catherine St,Vacaville,CA,95688,707-449-5424,24 hours daily,,,1,,GPS,38.355867,-121.9862,J1772,US,PARKING_LOT,
ELEC,City of Vacaville - City Hall,650 Merchant St,Vacaville,CA,95688,,Primarily government use,,,7,,200-9,38.351758,-121.994475,J1772,US,MUNI_GOV,
ELEC,Citrus Heights City Hall,6360 Fountain Square Dr,Citrus Heights,CA,95621,916-725-2448,24 hours daily,,,4,,GPS,38.682605,-121.297614,J1772,US,MUNI_GOV,
ELEC,El Dorado County Government Center,2850 Fairlane Ct,Placerville,CA,95667,530-621-5300,24 hours daily,,,3,,GPS,38.72799,-120.828,J1772,US,MUNI_GOV,
ELEC,El Dorado Transit Park & Ride,4640 Post St,El Dorado Hills,CA,95762,530-642-5383,24 hours daily,,,2,,GPS,38.6476,-121.067,J1772,US,MUNI_GOV,
ELEC,CVS Pharmacy,8455 Auburn-Folsom Rd,Granite Bay,CA,95746,916-791-1189,8am-10pm daily,,,1,,GPS,38.74453,-121.17,J1772,US,CONVENIENCE_STORE,
BD,Jay's Garage,734 SE 7th Ave,Portland,OR,97214,503-239-5167,"7am-7pm M-F, 8am-6pm Sat-Sun",A Cash Checks D M V Voyager Wright_Exp,,,,200-9,45.51746,-122.658364,,US,GAS_STATION,
ELEC,Carmichael Library,5605 Marconi Ave,Carmichael,CA,95608,916-264-2700  916-264-2920,24 hours daily,,,1,,GPS,38.618066,-121.334337,J1772,US,LIBRARY,
E85,Speedway #9264,1229 Cerrillos Rd,Santa Fe,NM,87505,1-800-643-1948,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,200-9,35.672836,-105.962093,,US,CONVENIENCE_STORE,
E85,Cenex - Consumers Co-op Oil Co,1218 10th Ave,Clarkfield,MN,56223,320-669-4426,6am-10pm M-F,Cash M V Voyager Wright_Exp,,,,200-9,44.791048,-95.808232,,US,COOP,
E85,First Co-op Association,1583 Market Ave,Galva,IA,51020,712-282-4218,24 hours daily; Also accepts Cenex card,A D GasCard M Proprietor V Voyager Wright_Exp,,,,200-9,42.47751,-95.415962,,US,COOP,"[""E30-E35""]"
E85,Stinker Store #23,2323 W Main St,Boise,ID,83702,208-342-2512,"6am-9pm M-Th and Sat-Sun, 6am-10pm F",A Cash D M V Voyager Wright_Exp,,,,200-9,43.621473,-116.219339,,US,CONVENIENCE_STORE,
E85,Anderson's,701 4th Ave W,Spencer,IA,51301,712-262-6650,24 hours daily,A D M V Voyager Wright_Exp,,,,200-9,43.144387,-95.151126,,US,CONVENIENCE_STORE,"[""E15"", ""E20-E25"", ""E30-E35""]"
E85,Spinx #121,2497 S Highway 14,Greer,SC,29650,864-801-0500,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,200-9,34.873697,-82.224577,,US,CONVENIENCE_STORE,
E85,Spinx #138,1519 Whitehorse Rd,Greenville,SC,29605,864-277-6324,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,200-9,34.788922,-82.416499,,US,CONVENIENCE_STORE,
E85,Co-op Gas & Oil,153 N Main Ave,Sioux Center,IA,51250,712-722-2501,6am-8pm M-Sat,A Cash Checks D M PHH V Voyager Wright_Exp,,,,200-9,43.078307,-96.176297,,US,COOP,"[""E20-E25"", ""E30-E35"", ""E40-Plus""]"
E85,Qik-n-EZ #62,1607 Morrissey Dr,Bloomington,IL,61704,309-661-0524,24 hours daily,A Cash Checks D FuelMan GasCard M PHH V Voyager Wright_Exp,,,,200-9,40.458468,-88.970711,,US,CONVENIENCE_STORE,"[""E15""]"
E85,Cenex - Freeborn County Co-op,21604 State Highway 56,Austin,MN,55912,507-433-9010,"6am-8pm M-F, 7am-8pm Sat, 8am-4pm Sun",A Cash D M V Voyager,,,,200-9,43.668333,-92.868506,,US,COOP,"[""E40-Plus""]"
E85,Cenex - Ashby Equity Association,101 Main St,Ashby,MN,56309,218-747-2219,7:30am-5:30pm daily,A Cash D M V Wright_Exp,,,,200-9,46.09328,-95.8113,,US,CONVENIENCE_STORE,"[""E15"", ""E30-E35"", ""E40-Plus""]"
E85,Fuel 24,1200 N Cheney St,Taylorville,IL,62568,217-824-3833,"5:30am-11pm M-F, 6am-11pm Sat, 7am-10pm Sun",A Cash Checks D GasCard M V Voyager Wright_Exp,,,,200-9,39.561728,-89.306125,,US,CONVENIENCE_STORE,
E85,Holiday Stationstore #414,1210 13th Ave E,West Fargo,ND,58078,701-492-6268,24 hours daily,A Cash D M V Wright_Exp,,,,200-9,46.862518,-96.879627,,US,CONVENIENCE_STORE,
